,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,match_id,possession_team_id,team_id,player_id,under_pressure,related_events,off_camera
40,9acd826b-204b-45c9-9579-82ff19853c55,2666,2,00:20:14.905,65,14,Error,128,Swansea City,Regular Play,Manchester United,Sergio Germán Romero,Goalkeeper,"[2.4, 34.4]",0.0,3754221,26,39,4892,,,
41,76e48f5b-13ca-4d3a-b9ad-f6a1dbf1f3e0,1813,1,00:46:59.798,46,59,Error,93,Manchester City,From Counter,AFC Bournemouth,Adam Federici,Goalkeeper,"[25.7, 35.1]",0.0,3754193,36,28,24888,,,
42,3b042704-0e63-40f3-8c80-54a1ba8be2ec,3084,2,00:39:18.329,84,18,Error,202,Liverpool,Regular Play,Aston Villa,Jordan Veretout,Right Center Midfield,"[45.3, 71.1]",0.0,3754212,24,59,7153,,,True
43,c34c8c4e-b88d-46ae-8527-91b3728ec94e,73,1,00:00:58.139,0,58,Error,4,Crystal Palace,From Throw In,Manchester United,Matteo Darmian,Right Back,"[16.1, 57.4]",0.0,3754223,31,39,4587,,,
44,6c5714ba-4ebe-45c8-a796-596487a9fe6d,2038,2,00:04:31.791,49,31,Error,112,Tottenham Hotspur,From Free Kick,Manchester City,Wilfredo Daniel Caballero,Goalkeeper,"[4.6, 33.7]",0.0,3754197,38,36,3659,,,
45,359bc379-35b0-4c41-af03-69cb010296fc,2845,2,00:18:28.051,63,28,Error,131,Manchester City,Regular Play,Liverpool,James Philip Milner,Right Center Midfield,"[42.1, 60.9]",0.0,3754208,36,24,3473,,,
46,6b9b4999-368b-48c8-8f74-5744a5abcd96,1555,1,00:42:45.632,42,45,Error,76,West Ham United,From Throw In,West Ham United,Dimitri Payet,Left Wing,"[77.3, 68.6]",0.0,3754194,40,40,3491,True,['1b6597b7-9613-4f32-8b5b-f0bdbd4826e3'],
47,7daba714-4a0d-47c2-8120-946ac13f7c62,2353,2,00:17:10.975,62,10,Error,138,Manchester City,Regular Play,Everton,Guangtai Jiang,Left Back,"[26.5, 9.6]",0.0,3754233,36,29,42946,,,
48,e8dc4e6e-ee06-440c-9254-736cc4482dd9,429,1,00:11:21.268,11,21,Error,16,Tottenham Hotspur,From Goal Kick,Tottenham Hotspur,Hugo Lloris,Goalkeeper,"[6.2, 29.6]",0.0,3754270,38,38,3099,,,
49,24565bc0-fa89-4f97-920a-69f4bb8ad05a,2228,2,00:20:24.433,65,24,Error,136,Leicester City,From Free Kick,Sunderland,Younes Kaboul,Left Center Back,"[12.4, 42.9]",0.0,3754237,22,41,4746,,,
50,819ff09c-d177-4f55-852e-4f92afc2d2bc,46,1,00:00:46.809,0,46,Error,4,AFC Bournemouth,Regular Play,Tottenham Hotspur,Danny Rose,Left Back,"[9.0, 28.4]",0.0,3754234,28,38,3594,,,
51,37f4fc99-3e6c-4d07-9d3c-77890d924f8b,998,1,00:28:59.463,28,59,Error,63,Tottenham Hotspur,Regular Play,AFC Bournemouth,Artur Boruc,Goalkeeper,"[2.6, 40.9]",0.0,3754234,38,28,20074,,,
52,5c969919-5608-4750-8b38-d5a8e9b2ef53,2371,2,00:17:51.487,62,51,Error,130,Tottenham Hotspur,From Corner,AFC Bournemouth,Artur Boruc,Goalkeeper,"[3.5, 39.1]",0.0,3754234,38,28,20074,,,
53,4a3a4ad6-dc73-4ea7-bda9-4d30e2ffe517,1361,1,00:38:04.434,38,4,Error,68,Watford,From Free Kick,West Ham United,Andy Carroll,Center Forward,"[2.3, 54.1]",0.0,3754273,23,40,4271,,,
54,258dee53-8b37-4c83-9d01-56ccb6d4c07d,1685,2,00:02:00.753,47,0,Error,92,Watford,From Throw In,West Ham United,James Tomkins,Right Center Back,"[14.6, 47.0]",0.0,3754273,23,40,3316,,,
55,fc25cb48-7350-4eba-9e19-857f0d1045b3,2319,2,00:23:25.473,68,25,Error,131,West Ham United,Regular Play,Watford,Craig Cathcart,Right Center Back,"[13.3, 33.9]",0.0,3754273,40,23,3263,,,
56,1d8dcb6c-1b32-453e-8756-f67a0404d479,2303,2,00:12:00.811,57,0,Error,118,Tottenham Hotspur,From Goal Kick,Everton,Gareth Barry,Left Defensive Midfield,"[9.5, 30.8]",0.0,3754268,38,29,3633,,,
57,ccd8fa1a-9108-46f5-be15-5651d7a6bbc4,2001,2,00:03:11.855,48,11,Error,91,Aston Villa,From Throw In,Everton,José Ramiro Funes Mori,Left Center Back,"[32.9, 37.9]",0.0,3754283,59,29,4629,,,
58,b4cd6315-a81b-431f-8fcb-fc5317247884,2019,2,00:15:49.995,60,49,Error,119,West Bromwich Albion,Regular Play,West Ham United,Cheikhou Kouyaté,Right Center Midfield,"[10.0, 47.0]",0.0,3754235,27,40,3684,,,
59,58623522-a265-4ce5-a040-962bf2517c96,373,1,00:08:23.182,8,23,Error,15,Swansea City,From Throw In,West Bromwich Albion,Glyn Oliver Myhill,Goalkeeper,"[1.8, 37.2]",0.0,3754279,26,27,5108,,,
60,a18d089d-ece6-4785-9729-8c619a1b2513,3074,2,00:47:26.704,92,26,Error,226,Newcastle United,From Goal Kick,Tottenham Hotspur,Hugo Lloris,Goalkeeper,"[1.6, 36.9]",0.0,3754276,37,38,3099,,,
61,0be30b01-d5bf-4ab9-a709-6e8506ac93b4,1055,1,00:25:33.229,25,33,Error,61,Swansea City,From Corner,Swansea City,Àngel Rangel Zaragoza,Right Back,"[55.7, 51.5]",0.0,3754259,26,26,3973,,,
62,f1233183-322a-4fca-b929-70127b5dead3,1254,1,00:33:24.139,33,24,Error,80,West Ham United,From Free Kick,Swansea City,Łukasz Fabiański,Goalkeeper,"[7.1, 44.2]",0.0,3754259,40,26,3262,,,
63,262ea6e2-491d-4b08-a493-e9a3af5b844b,2430,2,00:14:36.442,59,36,Error,132,Swansea City,From Free Kick,West Ham United,Cheikhou Kouyaté,Right Center Midfield,"[12.7, 43.8]",0.0,3754259,26,40,3684,,,
64,01701a50-492b-4248-80fe-fcb2abeec38f,2962,2,00:31:30.590,76,30,Error,157,West Ham United,From Corner,Swansea City,Kyle Naughton,Right Back,"[7.7, 51.1]",0.0,3754259,40,26,3340,,,
65,86ad9f00-a740-4b7d-b19d-e42daa5c814a,579,1,00:17:20.851,17,20,Error,31,Everton,From Throw In,Everton,Gareth Barry,Left Defensive Midfield,"[35.2, 44.9]",0.0,3754298,29,29,3633,,,
