,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,dribble_outcome,possession_team_id,team_id,player_id,dribble_overrun,dribble_nutmeg,out,dribble_no_touch,off_camera
10562,56362152-04cc-48de-a110-a87dd0475a4d,834,1,00:20:06.234,20,6,Dribble,47,Manchester United,Regular Play,Manchester United,Ander Herrera Agüera,Center Attacking Midfield,"[32.4, 44.4]",0.0,True,['3ce92412-0c6a-46e0-baed-5e9b2842ee03'],3754200,Incomplete,39,39,3606,,,,,
10563,5f50bdf0-1574-4a6c-bec3-e761740e208f,840,1,00:20:07.702,20,7,Dribble,47,Manchester United,Regular Play,Manchester United,Marouane Fellaini-Bakkioui,Left Defensive Midfield,"[30.6, 37.6]",0.0,True,['789a9434-16ee-4ca1-a4e1-ae2a0e71cee9'],3754200,Complete,39,39,3296,,,,,
10564,24d1cea7-8fd9-4c3e-abcc-d9a77f004963,943,1,00:25:58.267,25,58,Dribble,53,Southampton,From Throw In,Southampton,José Miguel da Rocha Fonte,Center Back,"[25.3, 71.2]",0.0,True,['6846b448-7fcf-4cfe-977f-5f64232bfdff'],3754200,Complete,25,25,3960,,,,,
10565,7c807bf2-5e46-4445-85d7-ef5ba9af9753,990,1,00:26:47.941,26,47,Dribble,54,Manchester United,From Free Kick,Manchester United,Anthony Martial,Right Center Forward,"[73.4, 27.7]",0.0,True,"['47285077-d389-4a60-b059-cf8c228732aa', 'b2f72c8d-472e-46f2-b25b-b0fc71a3c7ae']",3754200,Complete,39,39,20039,,,,,
10566,61ec7272-fb3d-4239-b408-652cdc773376,1086,1,00:28:30.145,28,30,Dribble,61,Manchester United,From Throw In,Manchester United,Morgan Schneiderlin,Right Defensive Midfield,"[83.7, 42.7]",0.0,True,['bddfd322-9caf-4cf8-8564-2b363b061b83'],3754200,Complete,39,39,3600,,,,,
10567,24f53f99-489f-49ed-a590-2f375db6d242,1106,1,00:28:45.065,28,45,Dribble,61,Manchester United,From Throw In,Manchester United,Wayne Mark Rooney,Left Center Forward,"[102.2, 29.4]",0.0,True,['38e0b757-5b17-4c9f-b451-d4de3b051f0a'],3754200,Incomplete,39,39,3538,,,,,
10568,2180c308-4a67-4a72-8759-85a176d29849,1212,1,00:31:57.988,31,57,Dribble,71,Manchester United,From Throw In,Manchester United,Morgan Schneiderlin,Right Defensive Midfield,"[64.8, 68.3]",0.0,True,"['b625d952-9ade-4d3b-8c06-8612052905a3', 'e7e38e09-dc08-4586-ad7e-fad62669a1b3']",3754200,Complete,39,39,3600,,,,,
10569,a39e17af-5d7e-440d-bc35-071813a9dbbe,1226,1,00:32:02.305,32,2,Dribble,71,Manchester United,From Throw In,Manchester United,Ander Herrera Agüera,Center Attacking Midfield,"[70.7, 66.3]",0.0,True,"['6c8abac6-194f-4967-b945-b379f8d5c643', 'ccd4771f-3b56-42b4-9d87-95d4acb405a6']",3754200,Incomplete,39,39,3606,True,,,,
10570,f550cf40-eab5-4c85-96b9-4fa601f4aef1,1399,1,00:37:17.605,37,17,Dribble,85,Manchester United,Regular Play,Manchester United,Wayne Mark Rooney,Left Center Forward,"[49.7, 17.5]",0.0,True,['0e4d374e-a752-48b9-8d8d-fe79d4718d8a'],3754200,Complete,39,39,3538,,,,,
10571,124f92bf-b152-442f-8388-17a476f9b0d5,1472,1,00:38:43.247,38,43,Dribble,88,Southampton,Regular Play,Southampton,Sadio Mané,Left Wing,"[78.9, 47.0]",0.0,True,['55ab37d0-e232-4fb6-9e2f-de2fb7632a9c'],3754200,Complete,25,25,3629,,,,,
10572,f78e26ad-e9ef-4e7f-af40-d6341c74850c,1581,1,00:41:56.802,41,56,Dribble,97,Southampton,Regular Play,Southampton,Dušan Tadić,Right Wing,"[62.9, 14.1]",0.0,True,"['09618e75-f17e-4d8c-bca9-ecd9ff709a3c', 'b475f74d-b2d8-42f6-b24f-bdd45f4410f8']",3754200,Complete,25,25,3831,,,,,
10573,63473767-4c85-4d0f-b5f0-401fd76e9ad7,1615,1,00:42:34.191,42,34,Dribble,98,Manchester United,Regular Play,Manchester United,Morgan Schneiderlin,Right Defensive Midfield,"[50.9, 68.1]",0.0,True,['4b342d55-eb3f-495f-9c8a-dd1446cce008'],3754200,Incomplete,39,39,3600,,,,,
10574,56edd54a-13d9-4bbc-ad50-39d89e48773e,1834,2,00:00:15.897,45,15,Dribble,108,Southampton,Regular Play,Southampton,Dušan Tadić,Right Wing,"[50.9, 53.1]",0.0,True,['dbf44bb6-d39d-4965-8e73-7fb69a249ff7'],3754200,Complete,25,25,3831,,,,,
