,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,interception_outcome,possession_team_id,team_id,player_id,counterpress,under_pressure,off_camera
2531,024e607c-462d-4624-8745-f781b38dcfd0,2979,2,00:41:01.381,86,1,Interception,163,Chelsea,From Keeper,West Bromwich Albion,Craig Dawson,Right Back,"[50.4, 74.6]",0.0,['e66d891b-6735-422e-9f13-7b29b896cbd0'],3754059,Success In Play,33,27,3523,True,,
2532,a4f1b470-64dd-4ac4-b6d7-7acc72104f32,3054,2,00:43:13.937,88,13,Interception,166,West Bromwich Albion,Regular Play,Chelsea,César Azpilicueta Tanco,Left Back,"[38.3, 6.6]",0.0,['bfed358c-a35c-444c-a391-ddf3cff49393'],3754059,Lost Out,27,33,3957,,,
2533,c3c8c287-2c40-4770-8371-3ef96a9b108b,28,1,00:00:18.588,0,18,Interception,2,Liverpool,From Kick Off,Southampton,Virgil van Dijk,Left Center Back,"[55.5, 38.0]",0.0,['82a49a83-dcc7-4c60-99cd-1abcbf583555'],3754064,Lost In Play,24,25,3669,,,
2534,92442c81-8a14-4b3a-814d-292e409f88ed,345,1,00:08:55.958,8,55,Interception,17,Liverpool,From Throw In,Southampton,José Miguel da Rocha Fonte,Right Center Back,"[11.9, 26.6]",0.0,['25444105-1323-4fff-8a35-b4f8526cf8e0'],3754064,Lost Out,24,25,3960,,,
2535,7567ae5d-d146-40d2-a059-a32d43d24070,461,1,00:11:42.291,11,42,Interception,24,Liverpool,From Goal Kick,Southampton,José Miguel da Rocha Fonte,Right Center Back,"[39.0, 67.8]",0.0,['aee0424f-1791-4c7b-9c37-0dd38cec94e3'],3754064,Success In Play,24,25,3960,,,
2536,464f64d5-4a9c-4d5d-94bd-d7506178d309,540,1,00:13:38.123,13,38,Interception,27,Liverpool,From Goal Kick,Southampton,Virgil van Dijk,Left Center Back,"[13.4, 30.3]",0.0,"['01e30ca1-fd28-4789-93c5-654016e01b95', '6549cf50-6c51-4c8d-9b10-12700bcedada']",3754064,Lost In Play,24,25,3669,,True,
2537,6d435b83-89de-411c-bf9b-37e1e1cf54e3,570,1,00:14:48.921,14,48,Interception,29,Southampton,From Throw In,Liverpool,Emre Can,Right Center Midfield,"[49.2, 20.0]",0.0,['0eef1907-109b-4c22-ba44-7be7cfa7aba2'],3754064,Success In Play,25,24,3493,,,
2538,4dd38d0e-fe7a-4411-953b-266008b9d89e,611,1,00:15:34.757,15,34,Interception,32,Liverpool,Regular Play,Liverpool,Emre Can,Right Center Midfield,"[45.5, 21.8]",0.0,"['cbd9a4e1-8c75-48bc-bee1-72d9179fadcd', 'e7767009-d995-4e19-ae07-c07d16b5f083']",3754064,Won,24,24,3493,True,True,
2539,77cb5102-e212-4b85-9e16-f497258f9c22,957,1,00:23:21.907,23,21,Interception,42,Southampton,From Kick Off,Liverpool,Philippe Coutinho Correia,Left Midfield,"[27.2, 13.8]",0.0,['a167968e-1f85-4e2c-ad93-6bfab71d220f'],3754064,Won,25,24,3501,,,
2540,3c6226a9-048c-4d1b-8abf-ad66b7ef86bf,1188,1,00:28:50.944,28,50,Interception,55,Southampton,Regular Play,Liverpool,Mamadou Sakho,Left Center Back,"[21.9, 41.5]",0.0,['b9eee633-8a7b-48d4-a7e5-97c44961c053'],3754064,Lost In Play,25,24,3483,,,
2541,9758546f-d6b0-4e7b-b09b-64a539c7fe71,1239,1,00:30:06.925,30,6,Interception,57,Southampton,Regular Play,Southampton,Dušan Tadić,Left Midfield,"[86.9, 71.2]",0.0,['72a61fe9-2e47-4c2d-8f43-278135e8888e'],3754064,Won,25,25,3831,True,,
2542,1f1f4c2e-367b-424a-a2ed-d94b53c627fa,1252,1,00:30:12.452,30,12,Interception,58,Liverpool,Regular Play,Liverpool,Emre Can,Right Center Midfield,"[43.7, 28.0]",0.0,['a036a1df-4e29-444c-bfad-62fd62973271'],3754064,Won,24,24,3493,,,
2543,e601fa6d-ebf1-4251-a5f8-6803733e9e82,1257,1,00:30:13.836,30,13,Interception,58,Liverpool,Regular Play,Southampton,Shane Long,Right Center Forward,"[78.3, 46.0]",0.0,['df5bbbbb-e843-4aae-8bed-57bb40053d68'],3754064,Success In Play,24,25,3842,,,
2544,2b74deb0-ea7b-42ec-a3b2-8fc377cab500,1375,1,00:33:39.327,33,39,Interception,65,Southampton,Regular Play,Southampton,Jordy Clasie,Left Defensive Midfield,"[77.7, 6.9]",0.0,['db93a869-893c-4ccb-ada3-9f9565fcbcaa'],3754064,Won,25,25,16181,True,,
2545,fadb4129-8067-4544-bac9-fb486df0b6c3,1635,1,00:39:35.392,39,35,Interception,78,Liverpool,Regular Play,Southampton,Jordy Clasie,Left Defensive Midfield,"[46.4, 49.0]",0.0,['027d9100-9c53-4193-88a1-74e7abec8a47'],3754064,Success In Play,24,25,16181,,,
2546,a2382cac-8d2a-4560-b8b5-dcb2ba9a95ca,1736,1,00:43:15.254,43,15,Interception,87,Southampton,Regular Play,Liverpool,Mamadou Sakho,Left Center Back,"[17.1, 25.9]",0.0,['8f8b664b-974d-40f0-8b3d-7a3be159d8c7'],3754064,Won,25,24,3483,,,
2547,fc196c85-f6b3-4d73-add9-8ae4514524c6,1769,1,00:44:13.814,44,13,Interception,88,Liverpool,From Free Kick,Southampton,Virgil van Dijk,Left Center Back,"[38.6, 51.1]",0.0,['e86e3320-3a81-4893-9629-c2c02100315e'],3754064,Won,24,25,3669,,,
2548,47d87bca-0fce-494c-86f3-75b208e798ac,1818,1,00:44:49.706,44,49,Interception,89,Southampton,Regular Play,Southampton,Dušan Tadić,Left Midfield,"[26.3, 77.0]",0.0,"['1ba011ea-391d-4fd3-81d9-781963ce49d3', '33070711-e45f-4d23-ab5a-ffaf92eef767']",3754064,Won,25,25,3831,,True,
2549,2b676176-edc2-445b-affb-ed49f8b5d9e7,1847,1,00:45:25.671,45,25,Interception,90,Liverpool,From Throw In,Southampton,Rhu-endly Martina,Right Back,"[52.1, 76.6]",0.0,['d47392bf-39bf-4a9a-861b-b3e0df98499f'],3754064,Won,24,25,3590,,,
2550,3d86f126-e0d0-4076-999d-410246e3bded,1856,1,00:45:52.726,45,52,Interception,91,Southampton,From Free Kick,Southampton,Jordy Clasie,Left Defensive Midfield,"[82.0, 37.7]",0.0,,3754064,Lost In Play,25,25,16181,,,
2551,13b26387-a848-4059-905b-d14afef96daf,1946,2,00:00:08.253,45,8,Interception,95,Southampton,From Kick Off,Liverpool,Joe Allen,Left Center Midfield,"[57.3, 28.5]",0.0,"['8fda40c9-e9e2-46c6-bb8c-197fd4e1cf24', 'd18bb1f6-0d94-4f17-a297-ed0972b0e92e']",3754064,Lost In Play,25,24,10931,,True,
2552,eeeb6b34-bd08-4669-9508-af750be7ba13,1982,2,00:01:02.169,46,2,Interception,97,Southampton,Regular Play,Southampton,Ryan Bertrand,Left Back,"[67.7, 8.7]",0.0,['6eab9fbb-7697-4c7c-875c-928a5a145d0b'],3754064,Won,25,25,20045,True,,
